"PlateID_well","Silo_Replicate","Field_Replicate","Assay_Replicate","Immune_Priming","Heat_Priming","Assay_Temp","4HR","6HR","8HR","10HR","12HR","13HR","14HR","15HR","16HR","17HR","18HR","19HR","21HR","23HR","25HR","27HR","29.5HR","31HR","37HR","43HR","49HR","54HR"
"LR-CC2-40_D4",2,"D","LR-CC2-40","No","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-CC2-40_D5",2,"D","LR-CC2-40","No","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-EE1-40_A2",1,"A","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-EE1-40_A3",1,"A","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-EE1-40_A4",1,"A","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE1-40_A5",1,"A","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"LR-EE1-40_B2",1,"A","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-EE1-40_B3",1,"A","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EE1-40_B4",1,"A","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EE1-40_B5",1,"A","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE1-40_C2",1,"B","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-EE1-40_C3",1,"B","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EE1-40_C4",1,"B","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE1-40_C5",1,"B","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-EE1-40_D2",1,"B","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EE1-40_D3",1,"B","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-EE1-40_D4",1,"B","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EE1-40_D5",1,"B","LR-EE1-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-EE2-40_A2",2,"C","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_A3",2,"C","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_A4",2,"C","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_A5",2,"C","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_B2",2,"C","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_B3",2,"C","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_B4",2,"C","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_B5",2,"C","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_C2",2,"D","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_C3",2,"D","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_C4",2,"D","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_C5",2,"D","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_D2",2,"D","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_D3",2,"D","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-EE2-40_D4",2,"D","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EE2-40_D5",2,"D","LR-EE2-40","No","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-CP1-40_A2",1,"A","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP1-40_A3",1,"A","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-CP1-40_A4",1,"A","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-CP1-40_A5",1,"A","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP1-40_B2",1,"A","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-CP1-40_B3",1,"A","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-CP1-40_B4",1,"A","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-CP1-40_B5",1,"A","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"LR-CP1-40_C2",1,"B","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP1-40_C3",1,"B","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-CP1-40_C4",1,"B","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-CP1-40_C5",1,"B","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-CP1-40_D2",1,"B","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-CP1-40_D3",1,"B","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-CP1-40_D4",1,"B","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"LR-CP1-40_D5",1,"B","LR-CP1-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-CP2-40_A2",2,"C","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"LR-CP2-40_A3",2,"C","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,1
"LR-CP2-40_A4",2,"C","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-CP2-40_A5",2,"C","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP2-40_B2",2,"C","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-CP2-40_B3",2,"C","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP2-40_B4",2,"C","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP2-40_B5",2,"C","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,1,1,1,1
"LR-CP2-40_C2",2,"D","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP2-40_C3",2,"D","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,1
"LR-CP2-40_C4",2,"D","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"LR-CP2-40_C5",2,"D","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP2-40_D2",2,"D","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP2-40_D3",2,"D","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-CP2-40_D4",2,"D","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-CP2-40_D5",2,"D","LR-CP2-40","Yes","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-EP1-40_A2",1,"A","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"LR-EP1-40_A3",1,"A","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-EP1-40_A4",1,"A","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-EP1-40_A5",1,"A","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP1-40_B2",1,"A","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-EP1-40_B3",1,"A","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP1-40_B4",1,"A","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-EP1-40_B5",1,"A","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EP1-40_C2",1,"B","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"LR-EP1-40_C3",1,"B","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LR-EP1-40_C4",1,"B","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP1-40_C5",1,"B","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"LR-EP1-40_D2",1,"B","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"LR-EP1-40_D3",1,"B","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EP1-40_D4",1,"B","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"LR-EP1-40_D5",1,"B","LR-EP1-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EP2-40_A2",2,"C","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"LR-EP2-40_A3",2,"C","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP2-40_A4",2,"C","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"LR-EP2-40_A5",2,"C","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP2-40_B2",2,"C","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"LR-EP2-40_B3",2,"C","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP2-40_B4",2,"C","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"LR-EP2-40_B5",2,"C","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP2-40_C2",2,"D","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"LR-EP2-40_C3",2,"D","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP2-40_C4",2,"D","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"LR-EP2-40_C5",2,"D","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"LR-EP2-40_D2",2,"D","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"LR-EP2-40_D3",2,"D","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"LR-EP2-40_D4",2,"D","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"LR-EP2-40_D5",2,"D","LR-EP2-40","Yes","Yes","40C",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
