0 = alive (sealed or responds to touch); 1 = dead (gaped and unresponsive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,
C,blank,0,0,0,0,blank,,C,blank,0,0,1,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank
"39.3, 39.1, 39.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10HR,"Time Check Started (all plates): 12:45a, 9/10",,,,,,,10HR,"Time Check Started (all plates): 12:45a, 9/10",,,,,,,10HR,"Time Check Started (all plates): 12:45a, 9/10",,,,,,,10HR,"Time Check Started (all plates): 12:45a, 9/10",,,,,,,10HR,"Time Check Started (all plates): 12:45a, 9/10",,,,,,,10HR,"Time Check Started (all plates): 12:45a, 9/10",,,,,,,10HR,"Time Check Started (all plates): 12:45a, 9/10",,,,,,,10HR,"Time Check Started (all plates): 12:45a, 9/10",,,,,
AP-CC1-40,1,2,3,4,5,6,,AP-CC2-40,1,2,3,4,5,6,,AP-EE1-40,1,2,3,4,5,6,,AP-EE2-40,1,2,3,4,5,6,,AP-CP1-40,1,2,3,4,5,6,,AP-CP2-40,1,2,3,4,5,6,,AP-EP1-40,1,2,3,4,5,6,,AP-EP2-40,1,2,3,4,5,6
A,blank,0,0,0,0,blank,,A,blank,1,0,0,0,blank,,A,blank,1,1,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,1,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,1,0,0,blank,,B,blank,1,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,0,0,blank,,C,blank,0,0,1,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank
"39.1, 39.3, 38.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13HR,"Time Check Started (all plates): 3:45a, 9/10",,,,,,,13HR,"Time Check Started (all plates): 3:45a, 9/10",,,,,,,13HR,"Time Check Started (all plates): 3:45a, 9/10",,,,,,,13HR,"Time Check Started (all plates): 3:45a, 9/10",,,,,,,13HR,"Time Check Started (all plates): 3:45a, 9/10",,,,,,,13HR,"Time Check Started (all plates): 3:45a, 9/10",,,,,,,13HR,"Time Check Started (all plates): 3:45a, 9/10",,,,,,,13HR,"Time Check Started (all plates): 3:45a, 9/10",,,,,
AP-CC1-40,1,2,3,4,5,6,,AP-CC2-40,1,2,3,4,5,6,,AP-EE1-40,1,2,3,4,5,6,,AP-EE2-40,1,2,3,4,5,6,,AP-CP1-40,1,2,3,4,5,6,,AP-CP2-40,1,2,3,4,5,6,,AP-EP1-40,1,2,3,4,5,6,,AP-EP2-40,1,2,3,4,5,6
A,blank,1,0,0,1,blank,,A,blank,1,0,0,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,0,1,blank,,A,blank,0,0,0,1,blank,,A,blank,1,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,1,1,blank
B,blank,1,0,0,0,blank,,B,blank,1,1,1,0,blank,,B,blank,0,1,0,0,blank,,B,blank,1,0,0,0,blank,,B,blank,0,1,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,1,0,blank
C,blank,0,1,1,0,blank,,C,blank,0,0,1,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,0,0,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,1,0,blank
D,blank,1,1,0,0,blank,,D,blank,1,1,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,1,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,1,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank
"39.6, 39.8, 38.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16HR,"Time Check Started (all plates): 6:45a, 9/10",,,,,,,16HR,"Time Check Started (all plates): 6:45a, 9/10",,,,,,,16HR,"Time Check Started (all plates): 6:45a, 9/10",,,,,,,16HR,"Time Check Started (all plates): 6:45a, 9/10",,,,,,,16HR,"Time Check Started (all plates): 6:45a, 9/10",,,,,,,16HR,"Time Check Started (all plates): 6:45a, 9/10",,,,,,,16HR,"Time Check Started (all plates): 6:45a, 9/10",,,,,,,16HR,"Time Check Started (all plates): 6:45a, 9/10",,,,,
AP-CC1-40,1,2,3,4,5,6,,AP-CC2-40,1,2,3,4,5,6,,AP-EE1-40,1,2,3,4,5,6,,AP-EE2-40,1,2,3,4,5,6,,AP-CP1-40,1,2,3,4,5,6,,AP-CP2-40,1,2,3,4,5,6,,AP-EP1-40,1,2,3,4,5,6,,AP-EP2-40,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,0,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,0,1,blank,,A,blank,1,0,1,0,blank,,A,blank,0,1,1,0,blank,,A,blank,0,1,1,1,blank
B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,1,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,0,1,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,0,0,blank,,B,blank,1,1,1,0,blank
C,blank,0,1,1,0,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,1,0,1,blank,,C,blank,0,0,1,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,1,0,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,0,blank,,D,blank,0,1,0,0,blank,,D,blank,1,1,0,1,blank,,D,blank,1,1,1,0,blank,,D,blank,0,1,0,1,blank
"39.3, 39.9, 39.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19HR,"Time Check Started (all plates): 9:45a, 9/10",,,,,,,19HR,"Time Check Started (all plates): 9:45a, 9/10",,,,,,,19HR,"Time Check Started (all plates): 9:45a, 9/10",,,,,,,19HR,"Time Check Started (all plates): 9:45a, 9/10",,,,,,,19HR,"Time Check Started (all plates): 9:45a, 9/10",,,,,,,19HR,"Time Check Started (all plates): 9:45a, 9/10",,,,,,,19HR,"Time Check Started (all plates): 9:45a, 9/10",,,,,,,19HR,"Time Check Started (all plates): 9:45a, 9/10",,,,,
AP-CC1-40,1,2,3,4,5,6,,AP-CC2-40,1,2,3,4,5,6,,AP-EE1-40,1,2,3,4,5,6,,AP-EE2-40,1,2,3,4,5,6,,AP-CP1-40,1,2,3,4,5,6,,AP-CP2-40,1,2,3,4,5,6,,AP-EP1-40,1,2,3,4,5,6,,AP-EP2-40,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,0,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,0,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,1,0,blank,,B,blank,1,1,1,1,blank
C,blank,1,1,1,0,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,0,blank,,C,blank,0,0,1,0,blank,,C,blank,1,0,0,0,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,0,1,0,1,blank,,D,blank,1,1,0,1,blank,,D,blank,1,1,1,0,blank,,D,blank,1,1,1,1,blank
"38.8, 39.0, 39.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22HR,"Time Check Started (all plates): 12:45p, 9/10",,,,,,,22HR,"Time Check Started (all plates): 12:45p, 9/10",,,,,,,22HR,"Time Check Started (all plates): 12:45p, 9/10",,,,,,,22HR,"Time Check Started (all plates): 12:45p, 9/10",,,,,,,22HR,"Time Check Started (all plates): 12:45p, 9/10",,,,,,,22HR,"Time Check Started (all plates): 12:45p, 9/10",,,,,,,22HR,"Time Check Started (all plates): 12:45p, 9/10",,,,,,,22HR,"Time Check Started (all plates): 12:45p, 9/10",,,,,
AP-CC1-40,1,2,3,4,5,6,,AP-CC2-40,1,2,3,4,5,6,,AP-EE1-40,1,2,3,4,5,6,,AP-EE2-40,1,2,3,4,5,6,,AP-CP1-40,1,2,3,4,5,6,,AP-CP2-40,1,2,3,4,5,6,,AP-EP1-40,1,2,3,4,5,6,,AP-EP2-40,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,0,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,0,blank,,C,blank,0,1,1,0,blank,,C,blank,1,0,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25HR,"Time Check Started (all plates): 3:45p, 9/10",,,,,,,25HR,"Time Check Started (all plates): 3:45p, 9/10",,,,,,,25HR,"Time Check Started (all plates): 3:45p, 9/10",,,,,,,25HR,"Time Check Started (all plates): 3:45p, 9/10",,,,,,,25HR,"Time Check Started (all plates): 3:45p, 9/10",,,,,,,25HR,"Time Check Started (all plates): 3:45p, 9/10",,,,,,,25HR,"Time Check Started (all plates): 3:45p, 9/10",,,,,,,25HR,"Time Check Started (all plates): 3:45p, 9/10",,,,,
AP-CC1-40,1,2,3,4,5,6,,AP-CC2-40,1,2,3,4,5,6,,AP-EE1-40,1,2,3,4,5,6,,AP-EE2-40,1,2,3,4,5,6,,AP-CP1-40,1,2,3,4,5,6,,AP-CP2-40,1,2,3,4,5,6,,AP-EP1-40,1,2,3,4,5,6,,AP-EP2-40,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank
"39.6, 39.1, 38.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
